game_id,ugly_name,pretty_name
105134,risk-legacy,Risk Legacy
244522,s-pretty-clever,That's Pretty Clever
79828,few-acres-snow,A Few Acres of Snow
66188,fresco,Fresco
96913,lancaster,Lancaster
172,sale,For Sale
199042,harry-potter-hogwarts-battle,Harry Potter: Hogwarts Battle
40354,maria,Maria
232832,century-golem-edition,Century: Golem Edition
100901,flash-point-fire-rescue,Flash Point: Fire Rescue
176396,quadropolis,Quadropolis
66362,glen-more,Glen More
192458,51st-state-master-set,51st State: Master Set
157969,sheriff-nottingham,Sheriff of Nottingham
25417,battlelore,BattleLore
18833,lord-rings-confrontation,Lord of the Rings: The Confrontation
712,blood-bowl-third-edition,Blood Bowl (Third Edition)
166669,san-juan-second-edition,San Juan (second edition)
151347,millennium-blades,Millennium Blades
128996,1775-rebellion,1775: Rebellion
5404,amun-re,Amun-Re
11170,heroscape-master-set-rise-valkyrie,Heroscape Master Set: Rise of the Valkyrie
183562,star-wars-x-wing-miniatures-game-force-awakens-cor,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set
83330,mansions-madness,Mansions of Madness
27162,kingsburg,Kingsburg
150658,pandemic-cure,Pandemic: The Cure
136063,forbidden-desert,Forbidden Desert
222509,lords-hellas,Lords of Hellas
138161,firefly-game,Firefly: The Game
146791,shadows-brimstone-city-ancients,Shadows of Brimstone: City of the Ancients
204305,sherlock-holmes-consulting-detective-jack-ripper-w,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures
137408,amerigo,Amerigo
65781,london-first-edition,London (first edition)
17226,descent-journeys-dark,Descent: Journeys in the Dark
217372,quest-el-dorado,The Quest for El Dorado
140934,arboretum,Arboretum
63888,innovation,Innovation
875,roads-boats,Roads & Boats
128671,spartacus-game-blood-treachery,Spartacus: A Game of Blood & Treachery
50,lost-cities,Lost Cities
102652,sentinels-multiverse,Sentinels of the Multiverse
161614,stockpile,Stockpile
171668,grizzled,The Grizzled
98778,hanabi,Hanabi
105551,archipelago,Archipelago
227789,heaven-ale,Heaven & Ale
147949,one-night-ultimate-werewolf,One Night Ultimate Werewolf
34219,biblios,Biblios
234487,altiplano,Altiplano
58421,egizia,Egizia
186751,mythic-battles-pantheon,Mythic Battles: Pantheon
13,catan,Catan
194594,dice-forge,Dice Forge
111341,great-zimbabwe,The Great Zimbabwe
177639,raptor,Raptor
73171,earth-reborn,Earth Reborn
97786,small-world-underground,Small World Underground
133038,pathfinder-adventure-card-game-rise-runelords-base,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set
95527,madeira,Madeira
62227,labyrinth-war-terror-2001,"Labyrinth: The War on Terror, 2001 – ?"
62222,commands-colors-napoleonics,Commands & Colors: Napoleonics
219513,barenpark,Bärenpark
36553,times-title-recall,Time's Up! Title Recall!
192153,pandemic-reign-cthulhu,Pandemic: Reign of Cthulhu
127398,legends-andor,Legends of Andor
223321,detective-modern-crime-board-game,Detective: A Modern Crime Board Game
162082,deus,Deus
218417,aeons-end-war-eternal,Aeon's End: War Eternal
158899,colt-express,Colt Express
218603,photosynthesis,Photosynthesis
205359,star-wars-destiny,Star Wars: Destiny
195539,godfather-corleones-empire,The Godfather: Corleone's Empire
266192,wingspan,Wingspan
42052,vinhos,Vinhos
90419,airlines-europe,Airlines Europe
43570,friday,Friday
206941,first-class-all-aboard-orient-express,First Class: All Aboard the Orient Express!
150,pitchcar,PitchCar
133848,euphoria-build-better-dystopia,Euphoria: Build a Better Dystopia
125618,libertalia,Libertalia
155987,abyss,Abyss
119506,freedom-underground-railroad,Freedom: The Underground Railroad
27173,vikings,Vikings
3685,hammer-scots,Hammer of the Scots
475,taj-mahal,Taj Mahal
15062,shadows-over-camelot,Shadows over Camelot
163968,elysium,Elysium
169255,game-thrones-card-game-second-edition,A Game of Thrones: The Card Game (Second Edition)
128271,ginkgopolis,Ginkgopolis
141572,paperback,Paperback
478,citadels,Citadels
34119,tales-arabian-nights,Tales of the Arabian Nights
160010,conan,Conan
209778,magic-maze,Magic Maze
6472,game-thrones-first-edition,A Game of Thrones (First Edition)
9674,ingenious,Ingenious
31999,tzaar,TZAAR
39351,automobile,Automobile
